Tiempo [s],h3_Real [cm],h4_Real [cm],h3_Classical [cm],h4_Classical [cm]
691.5500000000001,0.926009326795569,3.0469411967251867,0.47243513345701604,1.7436507734194464
691.6,1.0251948818952232,3.135912783933897,0.471705461034857,1.743926489526833
691.6500000000001,1.0756262865869286,3.1925543262540996,0.4709724649520797,1.7441973854655004
691.7,0.9798096757067795,3.041840642223558,0.47023599693017504,1.7444629155352587
691.75,1.0569742148461594,3.102210615596346,0.46949590624413284,1.7447225220067046
691.8000000000001,0.7329283560462314,3.1629065082468886,0.4687520397224407,1.744975635121221
691.85,1.1973878136403955,3.3237788090201645,0.4680042417470949,1.7452216730909724
691.9000000000001,0.8853189546261633,3.0842307939052915,0.467252354253584,1.7454600420989124
691.95,1.0013782839375187,3.1290085723962555,0.46649621673090547,1.7456901362987767
692.0,1.2107292937157355,2.99769773457659,0.4657356662215508,1.745911337815088
692.0500000000001,0.9833825294053811,3.172117792775929,0.46497053732151494,1.7461230167431534
692.1,1.0056472446782898,3.158797371492231,0.4642006621802963,1.7463245311490645
692.1500000000001,1.1024770298408268,3.073795166039895,0.46342587050088957,1.7465152270696997
692.2,0.8737563988064653,3.0308859474136227,0.4626459895397952,1.7466944385127208
692.25,0.9020821264895508,3.0826081406266135,0.4618608441070111,1.7468614874565753
692.3000000000001,1.2480870243007272,3.0079585812092295,0.4610702565660345,1.7470156838504969
692.35,1.188865331432387,3.1206642065554235,0.4602740468338702,1.7471563256145022
692.4000000000001,1.0275102856051073,3.0797293508544117,0.45947203238101597,1.7472826986393952
692.45,0.9512042710185847,3.2158332918127437,0.4586640282314778,1.7473940767867633
692.5,0.9220569537457591,3.083462036423738,0.4578498469627572,1.74748972188898
692.5500000000001,0.9786739435625308,2.9608724312309085,0.4570292987058564,1.7475688837492038
692.6,0.7988339906072713,2.9745459107265044,0.45620219114528426,1.7476308001413778
692.6500000000001,0.9270977928074496,3.044891161215442,0.4553683295190436,1.7476746968102308
692.7,1.0282734624393217,2.970880783791024,0.45452751661864443,1.7476997874712765
692.75,0.7746161221918697,3.0489990207938376,0.4536795527890929,1.7477052738108136
692.8000000000001,1.0207829177805712,3.227974796599512,0.4528252893794611,1.7476901919422603
692.85,0.9431089198821836,3.077890574817964,0.4519756077792505,1.7476527241412771
692.9000000000001,0.8946669039623284,3.1108367163810273,0.45113286112743234,1.7475935108286402
692.95,1.0701418318244336,3.1720977214158848,0.4502963446729229,1.747513750501434
693.0,0.9856432324576349,3.1358467628027347,0.44946536980189045,1.7474146206244268
693.0500000000001,1.0582919954436927,3.185324515806775,0.44863926403776055,1.7472972776300706
693.1,0.9915333148942393,2.9400405761234643,0.4478173710412201,1.747162856918502
693.1500000000001,1.0015646170714438,3.070313134769753,0.4469990506102075,1.747012472857541
693.2,0.7766230837642485,3.062407432900632,0.4461836786799238,1.7468472187826918
693.25,1.0794623856178647,2.881544173976587,0.44537064732282294,1.7466681669971422
693.3000000000001,1.047070317010119,3.0767120449876373,0.4445593647486139,1.746476368771764
693.35,0.9047730787866467,3.0510795742439862,0.44374925530427056,1.7462728543451138
693.4000000000001,1.1412723654249102,2.7228180534432127,0.4429397594740152,1.7460586329234304
693.45,0.7662369347089162,3.0296929406207296,0.4421303338793341,1.7458346926806385
693.5,0.9571800654624787,3.0497628000936623,0.44132045127896546,1.7456020007583455
693.5500000000001,0.838299589291804,3.1457138504166298,0.44050960056890487,1.7453615032658423
693.6,1.0430795622463422,3.133292135672049,0.4396972867824096,1.7451141252801055
693.6500000000001,1.100901184932836,3.0614661469927245,0.4388830310899876,1.7448607708457935
693.7,0.9604287119757098,3.101934101450389,0.43806637079941035,1.744602322975251
693.75,0.8969203927644812,3.0263539010138114,0.43724685935570085,1.7443396436485046
693.8000000000001,0.9133415639367881,2.972686317445848,0.43642406634113984,1.744073573813265
693.85,1.0560750492600421,2.955299475540711,0.4355975774752694,1.7438049333849288
693.9000000000001,1.0554129006620447,3.265315502607316,0.4347669946148822,1.7435345212465736
693.95,0.8881873311396193,2.8554839290645733,0.43393193575403544,1.743263115248964
694.0,0.9286449500584417,3.1314567147489605,0.43309203502403637,1.7429914722105462
694.0500000000001,0.8700564237387339,3.2120397210993223,0.432246942693451,1.7427203279174508
694.1,1.0004680085349698,3.1732088934380225,0.431396325168107,1.7424503971234937
694.1500000000001,0.8636108675296568,3.019992026520301,0.43053986499108143,1.7421823735501722
694.2,0.9808094405881215,3.093559809761488,0.4296772608427162,1.741916929886671
694.25,1.0875007227172822,3.071594273647189,0.4288082275406042,1.7416547177898556
694.3000000000001,1.0205500846868725,3.027954206593046,0.4279324960395958,1.741396367884276
