Tiempo [s],h1_Real [cm],h2_Real [cm],h3_Real [cm],h4_Real [cm],h1_Ref [cm],h2_Ref [cm],v1_Bomba [V],v2_Bomba [V]
1152.9537271636218,11.989334667914903,15.921412170043718,2.598277114226552,0.9474755680442754,12.0,16.0,3.191106032074926,2.3616231543238695
1153.1537538338446,11.995786726553353,15.90926313867256,2.5890959947413976,0.9501299408323398,12.0,16.0,2.691106032074926,2.6549960244965227
1153.3537805040671,11.994219500070605,15.899262001421729,2.5815857851781483,0.9497925236721699,12.0,16.0,2.4237465963886176,3.1549960244965227
1153.55380717429,11.998594170285507,15.894328597358344,2.5779595177749357,0.9516932732262241,12.0,16.0,2.9237465963886176,3.6549960244965227
1153.7538338445127,12.000015663189442,15.898999130131868,2.5816418406044375,0.9524791541634354,12.0,16.0,2.4766125776153,4.154996024496523
1153.9538605147352,11.995073147956944,15.908096022199565,2.5886721202741017,0.9508657034447447,12.0,16.0,1.9766125776152998,4.654996024496523
1154.153887184958,11.9878573559217,15.925345150404173,2.601875494447776,0.9483824734160892,12.0,16.0,1.8816571659775758,5.154996024496523
1154.3539138551807,11.969312044124944,15.941031246624453,2.6138536393361353,0.9416395473840343,12.0,16.0,1.5272804115658518,5.176954855434297
1154.5539405254033,11.960415925242105,15.96464455744987,2.631827699157481,0.9384994889918363,12.0,16.0,2.027280411565852,5.676954855434297
1154.753967195626,11.954745195354954,15.98851085159944,2.649921200994398,0.936534041649364,12.0,16.0,2.527280411565852,6.0
1154.9539938658488,11.959801603874894,16.00975608290911,2.66593377725927,0.938546562583758,12.0,16.0,3.027280411565852,5.5
1155.1540205360714,11.959294044532417,16.021460011974234,2.6746107204292278,0.9384357853772419,12.0,16.0,2.527280411565852,5.0
1155.3540472062941,11.956262998802737,16.03004757060214,2.68088087852393,0.9373621292109838,12.0,16.0,2.027280411565852,4.5
1155.554073876517,11.938884068396812,16.039995108818257,2.688178008954133,0.9309088558147115,12.0,16.0,1.5272804115658518,4.553580718153385
1155.7541005467394,11.935191614923047,16.05423100815849,2.6987236772169823,0.9295839998206804,12.0,16.0,2.027280411565852,5.053580718153385
1155.9541272169622,11.919600066102468,16.07742915684733,2.7160527989107415,0.9237787109156351,12.0,16.0,1.5272804115658518,5.553580718153385
1156.154153887185,11.896078220845425,16.093297034998006,2.7277728896709976,0.9149984911967872,12.0,16.0,1.0272804115658518,5.053580718153385
1156.3541805574075,11.868606244049206,16.101214188421473,2.7334537176967344,0.9047621069506628,12.0,16.0,0.938169558581311,4.553580718153385
1156.5542072276303,11.848551212111605,16.11514093222672,2.743731220251345,0.8973309196398366,12.0,16.0,1.438169558581311,5.053580718153385
1156.754233897853,11.839493752417134,16.124492565420862,2.750516512843026,0.8940289671509776,12.0,16.0,1.938169558581311,4.553580718153385
1156.9542605680756,11.841620683457286,16.128530108179806,2.7532384614191314,0.8949149049642289,12.0,16.0,2.4381695585813112,4.053580718153385
1157.1542872382984,11.851339915773071,16.121372776955884,2.747424489374446,0.8986399171129072,12.0,16.0,2.9381695585813112,3.553580718153385
1157.3543139085211,11.862579525615262,16.109831923090304,2.738281963979719,0.9029335368569663,12.0,16.0,3.4381695585813112,3.053580718153385
1157.5543405787437,11.890534328738145,16.091317340225583,2.7238367629472013,0.9134877525705253,12.0,16.0,3.9381695585813112,2.553580718153385
1157.7543672489664,11.910283918660614,16.067270403431188,2.7052004435796757,0.9209619440198561,12.0,16.0,3.4381695585813112,2.053580718153385
1157.9543939191892,11.917486888418605,16.051325361372985,2.6927808587956865,0.9237451597237425,12.0,16.0,2.9381695585813112,2.553580718153385
1158.154420589412,11.92830454260622,16.02701818722617,2.674044894686069,0.927906384962403,12.0,16.0,3.0945252823966616,2.053580718153385
1158.3544472596345,11.931136527794624,16.004412673056525,2.6566774667837736,0.9291058459576085,12.0,16.0,2.5945252823966616,1.7861285384065861
1158.5544739298573,11.927336690449513,15.985411587256174,2.6421350870374796,0.9278592040997663,12.0,16.0,2.199989605374955,2.286128538406586
1158.75450060008,11.93091672688193,15.972042534302084,2.631943895521762,0.9294106468465225,12.0,16.0,2.699989605374955,2.786128538406586
1158.9545272703026,11.943072173828945,15.953886435083023,2.6181450455056345,0.9341927011635675,12.0,16.0,3.134592982152309,2.286128538406586
1159.1545539405254,11.961234903750627,15.941730915607872,2.608938318921368,0.9412276613105234,12.0,16.0,3.513653111400611,2.786128538406586
1159.3545806107481,11.968158690409616,15.934698241753553,2.603640157974219,0.9440421335557353,12.0,16.0,3.013653111400611,3.286128538406586
1159.5546072809707,11.968488172200056,15.921617471884225,2.5937618411339587,0.9443951261189306,12.0,16.0,2.513653111400611,2.786128538406586
1159.7546339511935,11.976472262171516,15.918372785547117,2.5913969396924683,0.947625091509476,12.0,16.0,3.013653111400611,3.286128538406586
1159.9546606214162,11.976178837958571,15.911124139283004,2.5859902702161324,0.9477522474825195,12.0,16.0,2.513653111400611,3.3854559057906632
1160.1546872916388,11.967222022513756,15.915314089129286,2.5893128972723374,0.9446398289896787,12.0,16.0,2.013653111400611,3.8854559057906632
1160.3547139618615,11.951646893694903,15.92266734214802,2.5950496591553427,0.9390540793992908,12.0,16.0,1.513653111400611,4.385455905790663
1160.5547406320843,11.927469835484859,15.94124036016605,2.609329239523301,0.9302508416782181,12.0,16.0,1.013653111400611,4.885455905790663
1160.7547673023068,11.909906658491945,15.947638819878309,2.61433179544402,0.9239390111878457,12.0,16.0,1.513653111400611,4.385455905790663
1160.9547939725296,11.903325581654084,15.951340697447474,2.6172863058569074,0.9217551981934103,12.0,16.0,2.013653111400611,4.094797854726135
1161.1548206427524,11.903898509173507,15.961877721177261,2.6254260366439337,0.9222429742708182,12.0,16.0,2.513653111400611,4.594797854726135
1161.354847312975,11.900764141754996,15.965549858191478,2.628309220022881,0.9213263998724042,12.0,16.0,2.282441360014222,4.094797854726135
1161.5548739831977,11.904011896218528,15.97585888367237,2.6362204827150073,0.9227869158125275,12.0,16.0,2.533594612647957,4.594797854726135
1161.7549006534205,11.897948358088955,15.990689311973924,2.6475309261250435,0.9207315056121191,12.0,16.0,2.1229752499927117,5.094797854726135
1161.954927323643,11.89966428648245,15.999445772484854,2.6541731378196873,0.9215724853365964,12.0,16.0,2.6229752499927117,4.594797854726135
1162.1549539938658,11.909030846198272,16.0116514053721,2.663390216768679,0.9252501410436988,12.0,16.0,3.1229752499927117,5.094797854726135
1162.3549806640885,11.918255734354851,16.02204001561536,2.6711587284909974,0.9288343155770324,12.0,16.0,3.144717501874655,4.594797854726135
1162.555007334311,11.919999318406813,16.029498745466316,2.676649283702978,0.9295848712847713,12.0,16.0,2.644717501874655,4.094797854726135
1162.7550340045339,11.933310538715874,16.040771910364498,2.6849945320857755,0.9346408989397247,12.0,16.0,3.144717501874655,4.594797854726135
1162.9550606747566,11.95638950186516,16.038569955986315,2.6830153491634614,0.9433178281311261,12.0,16.0,3.644717501874655,4.094797854726135
1163.1550873449794,11.975222730003555,16.03225449373904,2.6778714178138228,0.9503733890821294,12.0,16.0,3.6510001082500825,3.594797854726135
