Time [s],h3_Real [cm],h3_PINN [cm],h4_Real [cm],h4_PINN [cm]
10.700000000000001,1.67012,1.6702528,1.4067805,1.402732
10.75,1.6670207,1.6687022,1.4031632,1.4055407
10.8,1.6600832,1.6655957,1.4073704,1.4019142
10.850000000000001,1.6593444,1.6586748,1.4099324,1.4060961
10.9,1.6644981,1.6579515,1.4068637,1.4086454
10.950000000000001,1.6618364,1.663093,1.4051008,1.4055974
11.0,1.6639001,1.6604223,1.4081838,1.4038317
11.05,1.6605551,1.6624935,1.4064648,1.4069167
11.100000000000001,1.6576347,1.6591517,1.4040974,1.4051826
11.15,1.6528426,1.6562179,1.4044667,1.4028152
11.200000000000001,1.6534853,1.6514282,1.4040521,1.403172
11.25,1.6516318,1.6520685,1.4024943,1.4027536
11.3,1.6473536,1.6501956,1.409271,1.4011953
11.350000000000001,1.6466,1.6459347,1.4090137,1.40795
11.4,1.6426708,1.6451774,1.4111217,1.4076895
11.450000000000001,1.6432523,1.6412532,1.4107577,1.4097883
11.5,1.6413045,1.641833,1.4086422,1.4094245
11.55,1.6415598,1.6398721,1.4101624,1.4073079
11.600000000000001,1.6435931,1.640127,1.4168967,1.4088303
11.65,1.6411458,1.6421884,1.4108117,1.4155567
11.700000000000001,1.6387713,1.6397157,1.4118967,1.4094731
11.75,1.6355287,1.6373374,1.414248,1.4105538
11.8,1.6359577,1.6340942,1.417367,1.4128956
11.850000000000001,1.634224,1.6345392,1.4264171,1.4160115
11.9,1.632085,1.6328336,1.426488,1.4250458
11.950000000000001,1.6275799,1.630699,1.4304228,1.4251113
12.0,1.6252886,1.6262126,1.4267486,1.4290223
12.05,1.6215577,1.623909,1.4278498,1.4253491
12.100000000000001,1.6236287,1.620183,1.4237909,1.4264379
12.15,1.6245657,1.6222398,1.4239292,1.422387
12.200000000000001,1.6204362,1.6231654,1.4237386,1.4225352
12.25,1.6205826,1.619029,1.4227958,1.4223322
12.3,1.6230448,1.6191654,1.4247552,1.4213914
12.350000000000001,1.6272365,1.6216413,1.4240154,1.4233534
12.4,1.6260872,1.6258334,1.4203678,1.4226294
12.450000000000001,1.6302419,1.6246582,1.4228865,1.418993
12.5,1.634899,1.628827,1.4260691,1.4215173
12.55,1.6398393,1.633502,1.4257715,1.4246975
12.600000000000001,1.6377001,1.6384419,1.4278783,1.424417
12.65,1.6317476,1.6363118,1.4329584,1.4265102
12.700000000000001,1.6267762,1.6303755,1.4340303,1.4315672
12.75,1.6192672,1.6254063,1.4310157,1.4326254
12.8,1.6158576,1.6178894,1.4272674,1.4295949
12.850000000000001,1.6162219,1.6144601,1.431466,1.4258441
12.9,1.6115897,1.6148499,1.4318805,1.4300343
12.950000000000001,1.610711,1.6102298,1.4318385,1.4304259
13.0,1.6121513,1.6093377,1.4363749,1.4303831
13.05,1.6132225,1.6107941,1.4359881,1.4349186
13.100000000000001,1.6150512,1.6118538,1.432679,1.4345435
13.15,1.6136254,1.6136694,1.4300941,1.4312426
13.200000000000001,1.610805,1.6122429,1.4352977,1.4286555
13.25,1.6123691,1.6094351,1.4339297,1.4338454
13.3,1.6183568,1.6109916,1.4344056,1.4324858
13.350000000000001,1.6213589,1.6170046,1.4319925,1.4329661
13.4,1.6140772,1.6199982,1.4328716,1.4305614
13.450000000000001,1.6163614,1.6127148,1.4262613,1.4314188
13.5,1.6181043,1.6149595,1.4250399,1.4248369
13.55,1.6162679,1.616702,1.4329726,1.423626
13.600000000000001,1.6163565,1.6148958,1.4233947,1.4315461
13.65,1.6218721,1.614946,1.425872,1.4219862
13.700000000000001,1.6239791,1.6204708,1.4297528,1.4244732
13.75,1.6182204,1.6226056,1.4294704,1.42835
13.8,1.6121346,1.6168493,1.4284872,1.4280465
13.850000000000001,1.6129408,1.6107479,1.4331707,1.427048
13.9,1.6158785,1.6115637,1.4323535,1.4317272
13.950000000000001,1.6130936,1.6144954,1.4277998,1.4309193
14.0,1.6111088,1.6116819,1.4209917,1.4263675
14.05,1.6147606,1.6096616,1.4207883,1.4195732
14.100000000000001,1.6083802,1.6133065,1.4225509,1.4193823
14.15,1.6111645,1.6069233,1.4158019,1.4211291
14.200000000000001,1.6086885,1.6096803,1.415958,1.4143995
14.25,1.6035137,1.6072013,1.417364,1.4145474
14.3,1.6051619,1.6020265,1.41831,1.4159386
